DATAFLOW,LAST UPDATE,freq,wst_oper,waste,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,AT,2020,2,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,BE,2020,3,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,BG,2020,9,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,CY,2020,49,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,CZ,2020,3,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,DE,2020,2,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,DK,2020,11,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,EE,2020,18,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,EL,2020,35,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,ES,2020,18,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,EU27_2020,2020,12,s
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,FI,2020,9,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,FR,2020,18,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,HR,2020,10,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,HU,2020,2,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,IE,2020,11,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,IT,2020,12,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,LT,2020,29,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,LU,2020,12,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,LV,2020,17,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,MT,2020,1,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,NL,2020,27,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,NO,2020,30,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,PL,2020,18,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,PT,2020,10,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,SE,2020,2,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,SI,2020,0,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,SK,2020,13,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,AT,2020,19,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,BE,2020,161,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,BG,2020,19,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,CY,2020,190,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,CZ,2020,9,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,DE,2020,19,
